Timestamp,Symbol,Open,High,Low,Close,Volume
2023-06-01 00:00:00,BTCUSDT,27210.36000000,27350.00000000,26605.05000000,26817.93000000,39217.80880000
2023-06-02 00:00:00,BTCUSDT,26817.93000000,27300.00000000,26505.00000000,27242.59000000,36380.90269000
2023-06-03 00:00:00,BTCUSDT,27242.59000000,27333.29000000,26914.93000000,27069.22000000,16595.34117000
2023-06-04 00:00:00,BTCUSDT,27069.22000000,27455.02000000,26951.00000000,27115.21000000,19258.41049000
2023-06-05 00:00:00,BTCUSDT,27115.20000000,27129.33000000,25388.00000000,25728.20000000,65805.60305000
2023-06-06 00:00:00,BTCUSDT,25728.20000000,27355.33000000,25351.02000000,27230.08000000,68392.60438000
2023-06-07 00:00:00,BTCUSDT,27230.07000000,27391.77000000,26125.01000000,26339.34000000,59619.44364000
2023-06-08 00:00:00,BTCUSDT,26339.34000000,26810.00000000,26210.00000000,26498.61000000,31075.51083000
2023-06-09 00:00:00,BTCUSDT,26498.62000000,26783.33000000,26269.91000000,26477.81000000,27934.70970000
2023-06-10 00:00:00,BTCUSDT,26477.80000000,26533.87000000,25358.00000000,25841.21000000,64944.60108000
2023-06-11 00:00:00,BTCUSDT,25841.22000000,26206.88000000,25634.70000000,25925.55000000,30014.29595000
2023-06-12 00:00:00,BTCUSDT,25925.54000000,26106.48000000,25602.11000000,25905.19000000,29900.50893000
2023-06-13 00:00:00,BTCUSDT,25905.20000000,26433.21000000,25712.57000000,25934.25000000,41065.60853000
2023-06-14 00:00:00,BTCUSDT,25934.24000000,26055.99000000,25837.13000000,25885.24000000,5066.45544000
2023-06-01 00:00:00,ETHUSDT,1873.63000000,1889.20000000,1840.00000000,1861.78000000,270496.60970000
2023-06-02 00:00:00,ETHUSDT,1861.78000000,1910.00000000,1847.51000000,1906.68000000,313004.06580000
2023-06-03 00:00:00,ETHUSDT,1906.69000000,1907.92000000,1881.60000000,1892.06000000,148818.24270000
2023-06-04 00:00:00,ETHUSDT,1892.05000000,1914.63000000,1884.22000000,1890.01000000,172683.01190000
2023-06-05 00:00:00,ETHUSDT,1890.00000000,1890.63000000,1778.00000000,1810.50000000,555361.26830000
2023-06-06 00:00:00,ETHUSDT,1810.49000000,1898.29000000,1797.18000000,1884.64000000,491407.21740000
2023-06-07 00:00:00,ETHUSDT,1884.65000000,1897.80000000,1821.18000000,1832.13000000,429196.70640000
2023-06-08 00:00:00,ETHUSDT,1832.12000000,1861.28000000,1828.31000000,1845.64000000,189270.48530000
2023-06-09 00:00:00,ETHUSDT,1845.65000000,1855.00000000,1827.00000000,1840.37000000,198324.32520000
2023-06-10 00:00:00,ETHUSDT,1840.37000000,1844.99000000,1715.03000000,1751.53000000,652324.66950000
2023-06-11 00:00:00,ETHUSDT,1751.52000000,1778.25000000,1738.72000000,1752.76000000,219956.24340000
2023-06-12 00:00:00,ETHUSDT,1752.77000000,1759.33000000,1720.00000000,1742.57000000,302132.48190000
2023-06-13 00:00:00,ETHUSDT,1742.57000000,1770.13000000,1724.22000000,1740.12000000,284268.00180000
2023-06-14 00:00:00,ETHUSDT,1740.12000000,1748.45000000,1737.00000000,1740.37000000,36159.33250000
2023-06-01 00:00:00,BNBUSDT,306.80000000,307.70000000,303.10000000,304.90000000,255618.72200000
2023-06-02 00:00:00,BNBUSDT,304.90000000,308.40000000,303.10000000,307.20000000,300583.67500000
